channel_size,kernel,output_size_channel,channel,#K,J_in,J_out,pad,Stride,r_in,r_out
224,3,224,3,64,1,1,1,1,1,3
224,3,224,64,64,1,1,1,1,3,5
224,2,112,64,64,1,2,0,2,5,6
112,3,112,64,128,2,2,1,1,6,10
112,3,112,128,128,2,2,1,1,10,14
112,2,56,128,128,2,4,0,2,14,16
56,3,56,128,256,4,4,1,1,16,24
56,3,56,256,256,4,4,1,1,24,32
56,3,56,256,256,4,4,1,1,32,40
56,3,56,256,256,4,4,1,1,40,48
56,2,28,256,512,4,8,0,2,48,52
28,3,28,512,512,8,8,1,1,52,68
28,3,28,512,512,8,8,1,1,68,84
28,3,28,512,512,8,8,1,1,84,100
28,3,28,512,512,8,8,1,1,100,116
28,2,14,512,512,8,16,0,2,116,124
14,3,14,512,512,16,16,1,1,124,156
14,3,14,512,512,16,16,1,1,156,188
14,3,14,512,512,16,16,1,1,188,220
14,2,7,512,512,16,32,0,2,220,236
